,Unnamed: 0,material,shape,coat/functional group,synthesismethod,surface charge,size in medium (nm),zeta in medium (mV),no of cells (cells/well),human/animal,cell source,cell tissue,cell morphology,cell age,time (hr),concentration (ug/ml),test,test indicator,viability (%),DOI,core size (nm),surface area,Hydrodynamic diameter (nm),Zeta potential (mV),Cell type,Molecular weight (g/mol)
33,33,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,15.6,MTT,TetrazoliumSalt,122.75,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431
34,34,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,31.2,MTT,TetrazoliumSalt,104.58,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431
35,35,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,62.5,MTT,TetrazoliumSalt,118.73,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431
36,36,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,125.0,MTT,TetrazoliumSalt,94.648,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431
37,37,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,250.0,MTT,TetrazoliumSalt,103.1,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431
38,38,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,500.0,MTT,TetrazoliumSalt,105.63,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431
39,39,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,1000.0,MTT,TetrazoliumSalt,80.493,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431
40,40,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,1.95,MTT,TetrazoliumSalt,120.0,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
41,41,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,3.9,MTT,TetrazoliumSalt,119.41,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
42,42,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,7.8,MTT,TetrazoliumSalt,109.52,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
43,43,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,15.6,MTT,TetrazoliumSalt,111.3,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
44,44,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,31.2,MTT,TetrazoliumSalt,114.86,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
45,45,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,62.5,MTT,TetrazoliumSalt,116.05,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
46,46,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,125.0,MTT,TetrazoliumSalt,106.95,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
47,47,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,250.0,MTT,TetrazoliumSalt,73.74,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
48,48,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,500.0,MTT,TetrazoliumSalt,93.904,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
49,49,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,1000.0,MTT,TetrazoliumSalt,76.31,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
50,50,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,1.95,MTT,TetrazoliumSalt,104.15,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
51,51,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,3.9,MTT,TetrazoliumSalt,102.89,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
52,52,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,7.8,MTT,TetrazoliumSalt,102.04,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
53,53,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,15.6,MTT,TetrazoliumSalt,94.225,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
54,54,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,31.2,MTT,TetrazoliumSalt,90.423,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
55,55,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,62.5,MTT,TetrazoliumSalt,91.056,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
56,56,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,125.0,MTT,TetrazoliumSalt,100.77,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
57,57,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,250.0,MTT,TetrazoliumSalt,96.761,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
58,58,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,500.0,MTT,TetrazoliumSalt,103.94,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
59,59,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,1000.0,MTT,TetrazoliumSalt,85.775,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431
60,60,SiO2,Sphere,None,Commercial,Negative,10.0,,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,1.0,CellTiterBlue,AlamarBlue,107.59,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
61,61,SiO2,Sphere,None,Commercial,Negative,10.0,,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,10.0,CellTiterBlue,AlamarBlue,100.81,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
62,62,SiO2,Sphere,None,Commercial,Negative,10.0,,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,100.0,CellTiterBlue,AlamarBlue,70.11,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
63,63,SiO2,Sphere,None,Commercial,Negative,10.0,,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,1000.0,CellTiterBlue,AlamarBlue,22.617,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
64,64,SiO2,Sphere,None,Commercial,Negative,10.0,,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,1.0,XTT,TetrazoliumSalt,123.42,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
65,65,SiO2,Sphere,None,Commercial,Negative,10.0,,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,10.0,XTT,TetrazoliumSalt,114.38,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
66,66,SiO2,Sphere,None,Commercial,Negative,10.0,,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,100.0,XTT,TetrazoliumSalt,82.714,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
67,67,SiO2,Sphere,None,Commercial,Negative,10.0,,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,1000.0,XTT,TetrazoliumSalt,25.525,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
68,68,SiO2,Sphere,None,Commercial,Negative,10.0,,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,1.0,LDH,LDHrelease,4.5234,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
69,69,SiO2,Sphere,None,Commercial,Negative,10.0,,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,10.0,LDH,LDHrelease,6.1389,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
70,70,SiO2,Sphere,None,Commercial,Negative,10.0,,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,100.0,LDH,LDHrelease,22.294,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
71,71,SiO2,Sphere,None,Commercial,Negative,10.0,,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,1000.0,LDH,LDHrelease,69.467,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
72,72,SiO2,Sphere,None,Commercial,Negative,10.0,,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,1.0,Live/Dead,PropidiumIodide,95.315,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
73,73,SiO2,Sphere,None,Commercial,Negative,10.0,,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,10.0,Live/Dead,PropidiumIodide,86.268,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
74,74,SiO2,Sphere,None,Commercial,Negative,10.0,,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,100.0,Live/Dead,PropidiumIodide,69.467,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
75,75,SiO2,Sphere,None,Commercial,Negative,10.0,,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,1000.0,Live/Dead,PropidiumIodide,9.6931,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
76,76,SiO2,Sphere,None,Commercial,Negative,10.0,,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,1.0,Live/Dead,CalceinAM,94.023,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
77,77,SiO2,Sphere,None,Commercial,Negative,10.0,,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,10.0,Live/Dead,CalceinAM,91.761,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
78,78,SiO2,Sphere,None,Commercial,Negative,10.0,,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,100.0,Live/Dead,CalceinAM,71.729,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
79,79,SiO2,Sphere,None,Commercial,Negative,10.0,,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24.0,1000.0,Live/Dead,CalceinAM,44.265,10.5402/2012/454072,,,10.0,-27.0,RAW264.7,60.08431
80,92,Fe3O4,Sphere,Dextran,Thermal Decomposition,,,,10000.0,A,Monkey,Kidney,Epithelial,Adult,24.0,100.0,MTT,TetrazoliumSalt,102.0,10.1002/jbm.b.33068,,,18.0,,VERO,231.53262
81,93,Fe3O4,Sphere,Dextran,Thermal Decomposition,,,,10000.0,A,Monkey,Kidney,Epithelial,Adult,24.0,200.0,MTT,TetrazoliumSalt,105.08,10.1002/jbm.b.33068,,,18.0,,VERO,231.53262
82,94,Fe3O4,Sphere,Dextran,Thermal Decomposition,,,,10000.0,A,Monkey,Kidney,Epithelial,Adult,24.0,300.0,MTT,TetrazoliumSalt,100.0,10.1002/jbm.b.33068,,,18.0,,VERO,231.53262
83,95,Fe3O4,Sphere,Dextran,Thermal Decomposition,,,,10000.0,A,Monkey,Kidney,Epithelial,Adult,24.0,400.0,MTT,TetrazoliumSalt,100.0,10.1002/jbm.b.33068,,,18.0,,VERO,231.53262
84,96,Fe3O4,Sphere,Dextran,Thermal Decomposition,,,,10000.0,A,Monkey,Kidney,Epithelial,Adult,24.0,500.0,MTT,TetrazoliumSalt,80.0,10.1002/jbm.b.33068,,,18.0,,VERO,231.53262
85,97,Fe3O4,Sphere,Dextran,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,100.0,MTT,TetrazoliumSalt,101.97,10.1002/jbm.b.33068,,,18.0,,MDCK,231.53262
86,98,Fe3O4,Sphere,Dextran,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,200.0,MTT,TetrazoliumSalt,115.09,10.1002/jbm.b.33068,,,18.0,,MDCK,231.53262
87,99,Fe3O4,Sphere,Dextran,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,300.0,MTT,TetrazoliumSalt,115.09,10.1002/jbm.b.33068,,,18.0,,MDCK,231.53262
88,100,Fe3O4,Sphere,Dextran,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,400.0,MTT,TetrazoliumSalt,100.1,10.1002/jbm.b.33068,,,18.0,,MDCK,208.9804
89,101,Fe3O4,Sphere,Dextran,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,500.0,MTT,TetrazoliumSalt,118.08,10.1002/jbm.b.33068,,,18.0,,MDCK,208.9804
90,102,Fe3O4,Sphere,PEG,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,100.0,MTT,TetrazoliumSalt,80.0,10.1002/jbm.b.33068,,,18.0,,MDCK,208.9804
91,103,Fe3O4,Sphere,PEG,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,200.0,MTT,TetrazoliumSalt,75.077,10.1002/jbm.b.33068,,,18.0,,MDCK,208.9804
92,104,Fe3O4,Sphere,PEG,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,300.0,MTT,TetrazoliumSalt,50.0,10.1002/jbm.b.33068,,,18.0,,MDCK,208.9804
93,105,Fe3O4,Sphere,PEG,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,400.0,MTT,TetrazoliumSalt,38.0,10.1002/jbm.b.33068,,,18.0,,MDCK,208.9804
94,106,Fe3O4,Sphere,PEG,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,500.0,MTT,TetrazoliumSalt,34.923,10.1002/jbm.b.33068,,,18.0,,MDCK,208.9804
95,107,Fe3O4,Sphere,PEG,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,100.0,MTT,TetrazoliumSalt,89.986,10.1002/jbm.b.33068,,,18.0,,MDCK,208.9804
96,108,Fe3O4,Sphere,PEG,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,200.0,MTT,TetrazoliumSalt,80.245,10.1002/jbm.b.33068,,,18.0,,MDCK,208.9804
97,109,Fe3O4,Sphere,PEG,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,300.0,MTT,TetrazoliumSalt,31.916,10.1002/jbm.b.33068,,,18.0,,MDCK,208.9804
98,110,Fe3O4,Sphere,PEG,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,400.0,MTT,TetrazoliumSalt,30.043,10.1002/jbm.b.33068,,,18.0,,MDCK,208.9804
99,111,Fe3O4,Sphere,PEG,Thermal Decomposition,,,,10000.0,A,Dog,Kidney,Epithelial,Adult,24.0,500.0,MTT,TetrazoliumSalt,30.043,10.1002/jbm.b.33068,,,18.0,,MDCK,208.9804
100,112,Bi,Sphere,None,Precipitation,,,,20000.0,H,Human,Cervix,Epithelial,Adult,24.0,,Live/Dead,CalceinAM,97.16,10.1007/s10856-012-4716-1,,,20.0,,HeLa,208.9804
101,113,Bi,Sphere,None,Precipitation,,,,20000.0,H,Human,Cervix,Epithelial,Adult,24.0,,Live/Dead,CalceinAM,86.296,10.1007/s10856-012-4716-1,,,20.0,,HeLa,208.9804
102,114,Bi,Sphere,None,Precipitation,,,,20000.0,H,Human,Cervix,Epithelial,Adult,24.0,,Live/Dead,CalceinAM,55.802,10.1007/s10856-012-4716-1,,,20.0,,HeLa,208.9804
103,115,Bi,Sphere,None,Precipitation,,,,20000.0,H,Human,Bone,Fibroblast,Adult,24.0,,Live/Dead,CalceinAM,99.256,10.1007/s10856-012-4716-1,,,20.0,,MG-63,208.9804
104,116,Bi,Sphere,None,Precipitation,,,,20000.0,H,Human,Bone,Fibroblast,Adult,24.0,,Live/Dead,CalceinAM,87.593,10.1007/s10856-012-4716-1,,,20.0,,MG-63,208.9804
105,117,Bi,Sphere,None,Precipitation,,,,20000.0,H,Human,Bone,Fibroblast,Adult,24.0,,Live/Dead,CalceinAM,71.712,10.1007/s10856-012-4716-1,,,20.0,,MG-63,208.9804
106,118,Bi,Sphere,None,Precipitation,,,,20000.0,H,Human,Cervix,Epithelial,Adult,24.0,,MTT,TetrazoliumSalt,95.11,10.1007/s10856-012-4716-1,,,20.0,,HeLa,208.9804
107,119,Bi,Sphere,None,Precipitation,,,,20000.0,H,Human,Cervix,Epithelial,Adult,24.0,,MTT,TetrazoliumSalt,87.164,10.1007/s10856-012-4716-1,,,20.0,,HeLa,208.9804
108,120,Bi,Sphere,None,Precipitation,,,,20000.0,H,Human,Cervix,Epithelial,Adult,24.0,,MTT,TetrazoliumSalt,54.156,10.1007/s10856-012-4716-1,,,20.0,,HeLa,208.9804
109,121,Bi,Sphere,None,Precipitation,,,,20000.0,H,Human,Bone,Fibroblast,Adult,24.0,,MTT,TetrazoliumSalt,96.429,10.1007/s10856-012-4716-1,,,20.0,,MG-63,208.9804
110,122,Bi,Sphere,None,Precipitation,,,,20000.0,H,Human,Bone,Fibroblast,Adult,24.0,,MTT,TetrazoliumSalt,92.989,10.1007/s10856-012-4716-1,,,20.0,,MG-63,208.9804
111,123,Bi,Sphere,None,Precipitation,,,,20000.0,H,Human,Bone,Fibroblast,Adult,24.0,,MTT,TetrazoliumSalt,67.857,10.1007/s10856-012-4716-1,,,20.0,,MG-63,208.9804
